DateTime,EraTemperatureMilliDegC,UcTemperatureMilliDegC
14:56.5,65000,1062
14:57.3,65000,1062
15:01.5,65000,1062
15:02.3,65000,1062
15:06.5,65000,1062
15:07.3,65000,1063
15:11.6,65000,1063
15:12.3,65000,1063
15:16.6,65000,1063
15:17.3,65000,1063
15:21.6,65000,1063
15:22.3,65000,1063
15:26.6,65000,1063
15:27.4,65000,1063
15:31.6,65000,1064
15:32.4,65000,1064
15:36.6,65000,1065
15:37.4,65000,1065
15:41.6,65000,1065
15:42.4,65000,1065
15:46.6,65000,1065
15:47.4,65000,1065
15:51.6,65000,1065
15:52.4,65000,1065
15:56.7,65000,1065
15:57.4,65000,1065
16:01.6,65000,1066
16:02.4,65000,1065
16:06.6,65000,1066
16:07.4,65000,1065
16:11.7,65000,1066
16:12.4,65000,1066
16:16.7,65000,1066
16:17.4,65000,1066
16:21.7,65000,1066
16:22.4,65000,1066
16:26.7,65000,1066
16:27.4,65000,1066
16:31.7,65000,1067
16:32.5,65000,1067
16:36.7,65000,1067
16:37.5,65000,1067
16:41.7,65000,1067
16:42.5,65000,1067
16:46.7,65000,1068
16:47.5,65000,1067
16:51.7,65000,1068
16:52.5,65000,1068
16:56.7,65000,1068
16:57.5,65000,1068
17:01.7,65000,1068
17:02.5,65000,1068
17:06.7,65000,1068
17:07.5,65000,1068
17:11.8,65000,1069
17:12.5,65000,1068
17:16.8,65000,1069
17:17.5,65000,1069
17:21.8,65000,1069
17:22.5,65000,1069
17:26.8,65000,1069
17:27.5,65000,1069
17:31.8,65000,1069
17:32.6,65000,1070
17:36.8,65000,1070
17:37.5,65000,1069
17:41.8,65000,1070
17:42.5,65000,1070
17:46.8,65000,1070
17:47.6,65000,1070
17:51.8,65000,1070
17:52.6,65000,1071
17:56.8,65000,1070
17:57.6,65000,1071
18:01.8,65000,1071
18:02.6,65000,1071
18:06.8,65000,1071
18:07.6,65000,1071
18:11.8,65000,1071
18:12.6,65000,1071
18:16.9,65000,1071
18:17.6,65000,1071
18:21.9,65000,1071
18:22.6,65000,1071
18:26.9,65000,1072
18:27.6,65000,1072
18:31.9,65000,1072
18:32.6,65000,1072
18:36.9,65000,1072
18:37.7,65000,1072
18:41.9,65000,1072
18:42.6,65000,1072
18:46.9,65000,1072
18:47.7,65000,1073
18:51.9,65000,1073
18:52.7,65000,1073
18:56.9,65000,1073
18:57.7,65000,1073
19:01.9,65000,1074
19:02.7,65000,1073
19:06.9,65000,1073
19:07.7,65000,1074
19:11.9,65000,1074
19:12.7,65000,1074
19:16.9,65000,1074
19:17.7,65000,1074
19:21.9,65000,1074
19:22.7,65000,1074
19:27.0,65000,1074
19:27.7,65000,1074
19:32.0,65000,1074
19:32.7,65000,1074
19:37.0,65000,1074
19:37.7,65000,1074
19:42.0,65000,1075
19:42.7,65000,1075
19:47.0,65000,1075
19:47.8,65000,1075
19:52.0,65000,1075
19:52.8,65000,1076
19:57.0,65000,1075
19:57.8,65000,1076
20:02.0,65000,1076
20:02.8,65000,1075
20:07.0,65000,1076
20:07.8,65000,1076
20:12.0,65000,1076
20:12.8,65000,1076
20:17.0,65000,1076
20:17.8,65000,1076
20:22.0,65000,1076
20:22.8,65000,1076
20:27.0,65000,1076
20:27.8,65000,1076
20:32.1,65000,1076
20:32.8,65000,1077
20:37.1,65000,1077
20:37.8,65000,1077
20:42.1,65000,1077
20:42.8,65000,1077
20:47.1,65000,1077
20:47.8,65000,1077
20:52.1,65000,1077
20:52.9,65000,1077
20:57.1,65000,1077
20:57.9,65000,1077
21:02.1,65000,1077
21:02.9,65000,1077
21:07.1,65000,1077
21:07.9,65000,1077
21:12.1,65000,1078
21:12.9,65000,1077
21:17.1,65000,1078
21:17.9,65000,1078
21:22.1,65000,1078
21:22.9,65000,1078
21:27.1,65000,1079
21:27.9,65000,1078
21:32.2,65000,1079
21:32.9,65000,1079
21:37.2,65000,1079
21:37.9,65000,1079
21:42.2,65000,1079
21:42.9,65000,1079
21:47.2,65000,1079
21:47.9,65000,1079
